              T              E              M            |M|             Cv              X              A
            2.2      -1.547153    -0.78659355     0.78659355      1.3877825      4.1978299     0.15015541
          2.201     -1.5451417     0.78356073     0.78356073      1.4341547      4.8987033     0.15088835
          2.202     -1.5445436     0.78356323     0.78356323      1.4266356      5.1933325     0.15111125
          2.203     -1.5424408    -0.78079161     0.78079161      1.4300173      5.4106914     0.15188031
          2.204     -1.5409223     0.78037973     0.78037973      1.4401431       4.801988     0.15245048
          2.205     -1.5387746    -0.72941104     0.77571581      1.4555997      7.4024221     0.15332626
          2.206     -1.5378742    -0.31348189     0.77479146      1.4862804      7.5943253     0.15366038
          2.207     -1.5363537     0.77393078     0.77393078      1.4820923      6.6730577     0.15419747
          2.208     -1.5343362    -0.77200986     0.77200986      1.4790447      6.5598724     0.15493979
          2.209     -1.5340177    -0.77389514     0.77389514      1.4526311      5.2093693     0.15505934
           2.21     -1.5320001    -0.77022138     0.77027766      1.4898058      6.6785904     0.15575572
          2.211     -1.5302885     0.76762282     0.76766999       1.510675      7.7401596     0.15636943
          2.212     -1.5287384    -0.76602787     0.76608967      1.5083728      7.6060058     0.15694228
          2.213     -1.5279636    -0.25113651     0.76684401      1.4955252      6.7976772     0.15725296
          2.214     -1.5270419     0.32708871     0.76645176      1.5020914       6.834329     0.15762606
          2.215     -1.5243778     0.58776681     0.76262427      1.5292663      7.5313987     0.15855763
          2.216     -1.5232717     0.76204889     0.76204889      1.5368974      6.6745471     0.15898673
          2.217     -1.5202673     0.66817713     0.75407111       1.622503      11.110911      0.1600492
          2.218      -1.520367     0.75968797     0.75968815      1.5396004      6.9721688     0.16009403
          2.219     -1.5190338     0.75798766     0.75798769      1.5408372      7.2049717     0.16053978
           2.22     -1.5165923     0.75420965     0.75420965      1.5714784      7.7820776     0.16147963
          2.221     -1.5142113     0.75024818     0.75024818      1.6060073      8.7280338     0.16229814
          2.222     -1.5132994     0.67375062     0.74903096      1.6300317       9.934282     0.16264934
          2.223     -1.5115835      0.3644414     0.74667182       1.634106      10.142159     0.16329304
          2.224     -1.5106131    -0.74646416     0.74666014      1.6171673      10.143431     0.16363678
          2.225     -1.5088392    -0.74500244     0.74509586      1.6320803      9.8990349     0.16431296
          2.226     -1.5062927     0.21429623     0.73897951      1.6804308      12.950211     0.16526576
          2.227     -1.5048561     0.27673655     0.73806947      1.6786365      12.210165     0.16583907
          2.228     -1.5028599   0.0031963737     0.73496864      1.6844621      12.644833     0.16665408
          2.229     -1.5012609  -0.0081024203     0.73499493      1.6623043      11.167239     0.16713252
           2.23     -1.4994822    -0.35134898     0.72972655       1.736163       15.06883     0.16773272
          2.231     -1.4983112     0.33631038     0.73137904      1.6942851      12.177707     0.16830051
          2.232     -1.4972111    -0.51936352       0.729769      1.6980183      12.940157      0.1686472
          2.233     -1.4950326    -0.15814531     0.72614194         1.7125      13.263673     0.16949127
          2.234     -1.4938377     0.34071292     0.72695664      1.7004621      11.719737     0.16994106
          2.235     -1.4929732     0.24089121     0.72718142      1.7060359      10.970587     0.17026008
          2.236     -1.4905237    -0.72235169     0.72268791      1.7229722      12.653962     0.17111148
          2.237     -1.4891257     0.41417135     0.72223077      1.6966737      11.934722      0.1716076
          2.238     -1.4864052     -0.4912933     0.71564028      1.7607586      15.243213     0.17266459
          2.239     -1.4852811    -0.68304979     0.71266313      1.7967089      17.072811     0.17311173
           2.24      -1.482079    -0.49563467     0.70527979      1.8470309      20.131483      0.1743794
          2.241      -1.481705    -0.29154802     0.70958819      1.7878699      15.985366     0.17446179
          2.242     -1.4787151     0.20425565     0.70145872      1.8867008      20.684308     0.17552446
          2.243     -1.4771228   -0.062355111     0.70052255      1.8288493      18.943724     0.17605574
          2.244     -1.4754669    0.022029874     0.69792419      1.8648133      20.103734     0.17678687
          2.245     -1.4731635     0.26497988      0.6935941      1.8784402      21.542159     0.17759069
          2.246     -1.4722764     0.47200963     0.69473723      1.8504054      19.543919     0.17790874
          2.247     -1.4695636     0.42494223     0.68791386      1.8989607       21.83486     0.17894854
          2.248      -1.467182    0.046642053     0.68183636      1.9443112      24.970392     0.17986485
          2.249     -1.4667277    -0.13561074     0.68687211      1.8953773      20.800833     0.17998645
           2.25     -1.4635011     0.31438561     0.67676467      1.9566978      25.299112     0.18121546
          2.251     -1.4633693    -0.37725359     0.68290686      1.9184731       21.04441     0.18127664
          2.252     -1.4603924     0.23010467     0.67491209      1.9322652      24.277723     0.18245454
          2.253     -1.4584188     0.36553933     0.67227662      1.9599908      24.317329     0.18321179
          2.254     -1.4575405     0.46566041     0.67303957      1.9514948      22.705817     0.18344752
          2.255     -1.4543783  -0.0075622901     0.66370013      2.0220152      27.942369     0.18465375
          2.256     -1.4539982    -0.46220663     0.66632368      1.9451016      24.125468       0.184817
          2.257     -1.4515287    0.021900631     0.66258854      1.9634072      25.144702     0.18573001
          2.258     -1.4477357   -0.095771094     0.65083249      2.0635057      31.401983     0.18706738
