              T              E              M            |M|             Cv              X              A
              1     -1.9963333     0.17463889     0.99879444    0.029279556   0.0035608532      0.0019825
           1.01        -1.9964     0.22514444         0.9987    0.028181708   0.0041517228      0.0018725
           1.02     -1.9949333    -0.10093889     0.99831667    0.038860678   0.0049235283      0.0025575
           1.03     -1.9941333     0.27883889     0.99800556      0.0441094   0.0059068823       0.002905
           1.04     -1.9942889    -0.26516111     0.99808333    0.042121322     0.00555211       0.003065
           1.05     -1.9938444     0.13496111     0.99791667     0.04452869   0.0060257937      0.0030275
           1.06     -1.9935111         0.0055     0.99777778    0.046050808   0.0064383881      0.0032125
           1.07     -1.9925333   -0.013977778     0.99754444    0.051978626   0.0067687361      0.0037375
           1.08     -1.9924889    -0.14800556     0.99751667    0.051323064   0.0068187233      0.0036975
           1.09        -1.9922    0.094494444     0.99746111       0.052316    0.006795917      0.0039775
            1.1        -1.9916   -0.030461111     0.99716111    0.055303934   0.0078191783        0.00425
           1.11        -1.9922    -0.15788333        0.99735    0.050447723    0.007271991      0.0038975
           1.12     -1.9913556  -0.0010222222         0.9972      0.0548921    0.007253746      0.0045775
           1.13     -1.9885111   -0.044311111     0.99614444    0.071566397    0.010252198      0.0055175
           1.14     -1.9877111   -0.073622222     0.99603333    0.075182398    0.010042257       0.005775
           1.15        -1.9892   -0.061644444     0.99638889    0.064978026   0.0094039184        0.00557
           1.16     -1.9883556    0.087211111         0.9962    0.068826682   0.0095670651       0.005985
           1.17     -1.9876667   -0.035677778         0.9958     0.07163286    0.010936843      0.0063975
           1.18     -1.9870889       -0.03365     0.99571667    0.073701596    0.010775848      0.0065375
           1.19     -1.9855111    0.074444444     0.99508889    0.081259374    0.012505296       0.007165
            1.2     -1.9852667   0.0060444444     0.99508889    0.081248877    0.012197381        0.00716
           1.21     -1.9820222    0.050183333     0.99403889    0.097349512    0.014584091      0.0087375
           1.22     -1.9831111    0.014877778         0.9944    0.090009522    0.013594812      0.0082525
           1.23        -1.9838   -0.026516667     0.99471667    0.084969423     0.01251085      0.0082675
           1.24     -1.9820667  -0.0045666667     0.99394444    0.092468944     0.01472042      0.0090375
           1.25     -1.9792889   -0.024622222     0.99316667     0.10494278    0.016081689       0.010395
           1.26     -1.9806889    0.065027778     0.99370556    0.096370127    0.014521488        0.00982
           1.27     -1.9782222        0.11265     0.99268333      0.1068418    0.017250463       0.010985
           1.28        -1.9758    0.053638889     0.99188333     0.11673428    0.018934749        0.01221
           1.29     -1.9746667    0.032866667     0.99162222     0.12024491    0.019110531      0.0126125
