              T              E              M            |M|             Cv              X              A
            2.2     -1.5468711    -0.78582399     0.78582399      1.4158999      4.5460167     0.15032492
          2.201     -1.5452778    -0.78412051     0.78412051      1.4084027      4.6526323     0.15082691
          2.202     -1.5436452     0.78221257     0.78221257       1.421064      4.9611556     0.15143243
          2.203     -1.5426693     0.78204578     0.78204578      1.4224485      4.6610886       0.151829
          2.204     -1.5410476     0.77998572     0.77998572      1.4332883      5.1540658     0.15245038
          2.205     -1.5386149    -0.77614418     0.77614418      1.4700058      6.1041974     0.15343797
          2.206     -1.5380382    -0.77743111     0.77743111      1.4469232      5.0057895     0.15359033
          2.207     -1.5368256     0.77571639     0.77571639      1.4720177      5.7228982     0.15412195
          2.208     -1.5354429     0.77513099     0.77513099      1.4562652      5.2101365     0.15457576
          2.209     -1.5332351    -0.77081598     0.77081598      1.5038122      6.5289804     0.15536604
           2.21     -1.5319914    -0.77029613     0.77029613      1.4919612      6.1174535      0.1558754
          2.211     -1.5305296    -0.76925447     0.76925447       1.489857      6.0696647      0.1562948
          2.212     -1.5294106     0.76845491     0.76845491      1.5013429      6.2365948     0.15679623
          2.213     -1.5278144     -0.7672562      0.7672562      1.4898944      5.8349996     0.15731544
          2.214     -1.5261392     0.76524725     0.76524725      1.5091562      6.0672874     0.15795951
          2.215     -1.5237802     0.73723171     0.75642032      1.6386414       23.27366     0.15877549
          2.216     -1.5230469     0.76182297     0.76182297      1.5191498      6.7645524     0.15907003
          2.217     -1.5214464    -0.75882288     0.75882288      1.5584607      7.9919289     0.15975306
          2.218     -1.5196612     0.75648894     0.75648894      1.5714035      8.5339431     0.16037698
          2.219     -1.5185519     0.75666903     0.75666903      1.5663024       7.846924     0.16073037
           2.22     -1.5165449    -0.75354858     0.75354858       1.590382      8.5511285     0.16153522
          2.221     -1.5149743     0.75117571     0.75117571      1.6110463       9.723968     0.16203926
          2.222     -1.5140341     -0.7520369      0.7520369      1.5571126       7.916179      0.1624849
          2.223      -1.511915    -0.74798576     0.74798673      1.5967458      11.146696     0.16322409
          2.224     -1.5111596    -0.74949596     0.74949596      1.5943126      7.9845361     0.16350455
          2.225      -1.508338    -0.74334876     0.74334876      1.6549654      11.245364     0.16463435
          2.226     -1.5066726    -0.74096133     0.74096133      1.6628521      11.219903     0.16513789
          2.227     -1.5045128     0.73704516     0.73704516      1.6987105      13.753254     0.16609086
          2.228     -1.5029954    -0.73601297     0.73601297      1.7050551      12.740083     0.16650909
          2.229     -1.5016061     0.73361605     0.73361605      1.6797083      14.479309     0.16713274
           2.23     -1.5006273    -0.73531245     0.73531245      1.6762955      11.134101     0.16743305
          2.231     -1.4990079    -0.73365843     0.73365843      1.6540526      10.566835     0.16796628
          2.232     -1.4965136      0.7240254      0.7246565      1.7619124      24.610931     0.16891121
          2.233     -1.4957069    -0.72677873      0.7268366      1.7289109      18.398888     0.16924312
          2.234     -1.4928559     -0.7231552      0.7231552      1.7618103      14.789671      0.1703079
          2.235     -1.4906547    -0.71758849     0.71759062      1.7815955        19.4712     0.17113976
          2.236     -1.4899742    -0.72055715     0.72055715      1.7542355      14.537016     0.17132787
          2.237     -1.4881199     0.47472967     0.71554963      1.8169373      20.970036     0.17205822
          2.238      -1.486745    -0.71552919     0.71552919      1.7706398      15.920584     0.17262122
          2.239     -1.4834547     0.70614206      0.7061638      1.8610797      23.971512     0.17372642
           2.24     -1.4827926    -0.70771707     0.70771707      1.8241241      21.679462     0.17410397
          2.241     -1.4817458    -0.70908916     0.70908916      1.8165566      18.137517      0.1744427
          2.242     -1.4791217    -0.70095584     0.70101004      1.8923513      30.948888     0.17539912
          2.243     -1.4766518     0.69900359     0.69900359      1.8413997      20.252665      0.1763854
          2.244     -1.4756294     0.69524983     0.69657013       1.920865      29.866343     0.17668698
          2.245     -1.4734541     0.69366561     0.69366561      1.8971397      23.730886     0.17758442
          2.246      -1.472072    -0.69172715     0.69181469      1.9102162      26.505125     0.17804933
          2.247     -1.4695638     0.31094061     0.68572339      1.9503553      33.945486     0.17891416
          2.248     -1.4653045    -0.66265536     0.66842413      2.1255713      56.405728     0.18051697
          2.249     -1.4649391    -0.25174423     0.67571593      2.0252485       35.11954     0.18071294
           2.25     -1.4626674     0.67087315      0.6709354       2.043832      40.055475     0.18149095
          2.251     -1.4605041     0.11686482     0.66363415      2.1105562      49.644515     0.18231488
          2.252     -1.4586951   -0.052766207     0.66133444       2.125512      49.978278     0.18308761
          2.253      -1.456209     0.13248805     0.65649983      2.1254944       51.03801     0.18391703
          2.254     -1.4540318    -0.34534656      0.6509239      2.1810604       54.15342      0.1848107
          2.255     -1.4537009    -0.50743468     0.65653321      2.0781478      42.445965     0.18495463
          2.256     -1.4514932    -0.21802118     0.64840938      2.1505756      56.054537     0.18573089
          2.257     -1.4481082      0.5009076     0.63971592       2.221357      58.802709     0.18693056
          2.258      -1.447089    -0.36242556     0.64474628      2.0892207      39.335996     0.18739894
          2.259     -1.4463946     0.23521458     0.64761294      2.0591369       38.33122      0.1875949
           2.26      -1.442289    -0.29942911     0.62761755      2.2591716      69.837278     0.18917578
          2.261     -1.4402202     0.61576629     0.62561204      2.2287318      59.054359     0.19003406
          2.262      -1.436318     -0.2370172     0.60304792      2.3290704      93.073642     0.19148806
          2.263     -1.4354285    -0.27137768     0.60958101      2.2938118      79.061559     0.19162802
          2.264     -1.4337637     0.23029305     0.60932313      2.2548532      68.218934      0.1922985
          2.265     -1.4301786     0.16173918     0.58922921      2.3882644      100.73207     0.19374368
          2.266     -1.4264658    0.067220531     0.58058346      2.3862474       97.33358     0.19502472
          2.267      -1.425715      0.2764961      0.5868052      2.2815625      82.732197     0.19529676
          2.268     -1.4245737    -0.21491221     0.58700779      2.3732897      81.302868     0.19578183
          2.269      -1.423159    0.069506726     0.58634653      2.3382757      80.583596     0.19638474
           2.27     -1.4191146   -0.029137829     0.56786062      2.4259106      98.220268     0.19791748
          2.271     -1.4159801    -0.34655078      0.5511058      2.4901067      115.47513     0.19902134
