              T              E              M            |M|             Cv              X              A
           2.25     -1.4636626     0.64686765      0.6725215      2.0462157      46.398584     0.18118527
          2.255      -1.452515     0.46464038     0.65028982      2.1458183      51.270851      0.1853077
           2.26     -1.4410066     0.24576149     0.62317653      2.2577029      62.737698     0.18962882
          2.265     -1.4315641    -0.18499831     0.60498745      2.2640436       70.05013     0.19326158
           2.27     -1.4187882   -0.089835957     0.56544906      2.3896444      97.524736     0.19791924
          2.275     -1.4060099    -0.14290354     0.52570912      2.4974057      122.28147     0.20273174
           2.28     -1.3947607   -0.033661048      0.4930855      2.4617189      130.47799     0.20703474
          2.285     -1.3811293   -0.046906959     0.43564593      2.3924346      153.58944     0.21207442
           2.29     -1.3684909    0.083659412     0.38273117      2.3666086      168.85404    -0.21267781
          2.295     -1.3609589   -0.034121186     0.38521009      2.2450852      146.31342    -0.20979046
            2.3      -1.346612   -0.050938976     0.31955735      2.1083878      139.94718    -0.20442698
