              T              E              M            |M|             Cv              X              A
            2.2     -1.5471435     0.78662681     0.78662681      1.3885736      4.4094406     0.15019122
           2.22     -1.5158162     0.75044298     0.75045751      1.6369411       10.80047     0.16174509
           2.24     -1.4813927    0.077250997     0.70405237      1.8464607      19.841051     0.17451661
           2.26     -1.4450168   -0.018226264     0.65026855      1.9785989      27.949145     0.18819257
           2.28     -1.4008501    0.078915858     0.55270025      2.2351128      52.951926     0.20466178
            2.3     -1.3568402   -0.081400152     0.44577865      2.1276184      63.992324     0.22144137
           2.32     -1.3181862    0.026378625      0.3615506      1.8519492      57.343165     0.23630691
           2.34     -1.2840319 -0.00057622952     0.28506421      1.5739349      47.082299     0.24955865
           2.36     -1.2534615    0.010405489     0.22401271      1.3716251      35.678461     0.26163546
           2.38     -1.2277636 -0.00044760213     0.19563816      1.2284062      27.553402     0.27201392
