              T              E              M            |M|             Cv              X              A
            2.2     -1.5461267     0.78439808     0.78439818      1.4036536      4.4090385      0.1504837
           2.22     -1.5164941     0.25872694     0.75381095       1.565476      7.5115101     0.16149227
           2.24     -1.4839848     0.10299067      0.7150393      1.7642278      11.878973     0.17363439
           2.26     -1.4481478     0.05978425     0.66563855      1.8984449      17.296688     0.18697661
           2.28     -1.4091618   -0.046961703     0.60413885       2.007384      23.322142     0.20160259
            2.3     -1.3690637   -0.013211981     0.53076839      1.9993353      29.082576     0.21688251
           2.32     -1.3308023    0.003732678     0.46207371      1.8814258      30.682762      0.2316166
           2.34     -1.2934277   -0.012795669     0.39410969      1.6938743      28.718234     0.24603449
           2.36     -1.2606148    0.016326956     0.33203905      1.4867266      25.842214     0.25904561
           2.38     -1.2326926   0.0041382121     0.28800893      1.3417445      22.420131     0.27016942
            2.4     -1.2063831   0.0054656452     0.25005488      1.1994745      18.395654     0.28081631
