              x     u_solution   u_analytical  log10(relErr)
    0.010101010    0.085902482    0.085975546     -3.0706732
    0.020202020     0.16258219     0.16272048     -3.0706732
    0.030303030     0.23092522     0.23112163     -3.0706732
    0.040404040     0.29173252     0.29198065     -3.0706732
    0.050505051     0.34572809     0.34602215     -3.0706732
    0.060606061     0.39356638     0.39390113     -3.0706732
    0.070707071     0.43583896     0.43620966     -3.0706732
    0.080808081     0.47308056     0.47348293     -3.0706732
    0.090909091     0.50577453     0.50620471     -3.0706732
     0.10101010     0.53435780     0.53481229     -3.0706732
     0.11111111     0.55922530     0.55970095     -3.0706732
     0.12121212     0.58073403     0.58122797     -3.0706732
     0.13131313     0.59920669     0.59971634     -3.0706732
     0.14141414     0.61493497     0.61545800     -3.0706732
     0.15151515     0.62818255     0.62871684     -3.0706732
     0.16161616     0.63918775     0.63973141     -3.0706732
     0.17171717     0.64816602     0.64871731     -3.0706732
     0.18181818     0.65531209     0.65586946     -3.0706732
     0.19191919     0.66080200     0.66136404     -3.0706732
     0.20202020     0.66479486     0.66536030     -3.0706732
     0.21212121     0.66743451     0.66800219     -3.0706732
     0.22222222     0.66885096     0.66941984     -3.0706732
     0.23232323     0.66916172     0.66973087     -3.0706732
     0.24242424     0.66847303     0.66904159     -3.0706732
     0.25252525     0.66688090     0.66744811     -3.0706732
     0.26262626     0.66447215     0.66503731     -3.0706732
     0.27272727     0.66132522     0.66188771     -3.0706732
     0.28282828     0.65751104     0.65807028     -3.0706732
     0.29292929     0.65309372     0.65364920     -3.0706732
     0.30303030     0.64813119     0.64868246     -3.0706732
     0.31313131     0.64267585     0.64322248     -3.0706732
     0.32323232     0.63677504     0.63731665     -3.0706732
     0.33333333     0.63047156     0.63100781     -3.0706732
     0.34343434     0.62380410     0.62433467     -3.0706732
     0.35353535     0.61680763     0.61733225     -3.0706732
     0.36363636     0.60951375     0.61003216     -3.0706732
     0.37373737     0.60195104     0.60246302     -3.0706732
     0.38383838     0.59414533     0.59465068     -3.0706732
     0.39393939     0.58611997     0.58661849     -3.0706732
     0.40404040     0.57789605     0.57838758     -3.0706732
     0.41414141     0.56949266     0.56997704     -3.0706732
     0.42424242     0.56092704     0.56140413     -3.0706732
     0.43434343     0.55221477     0.55268445     -3.0706732
     0.44444444     0.54336995     0.54383210     -3.0706732
     0.45454545     0.53440530     0.53485984     -3.0706732
     0.46464646     0.52533235     0.52577916     -3.0706732
     0.47474747     0.51616149     0.51660051     -3.0706732
     0.48484848     0.50690214     0.50733328     -3.0706732
     0.49494949     0.49756279     0.49798599     -3.0706732
     0.50505051     0.48815113     0.48856633     -3.0706732
     0.51515152     0.47867412     0.47908125     -3.0706732
     0.52525253     0.46913802     0.46953704     -3.0706732
     0.53535354     0.45954851     0.45993938     -3.0706732
     0.54545455     0.44991073     0.45029340     -3.0706732
     0.55555556     0.44022931     0.44060375     -3.0706732
     0.56565657     0.43050845     0.43087462     -3.0706732
     0.57575758     0.42075194     0.42110980     -3.0706732
     0.58585859     0.41096319     0.41131273     -3.0706732
     0.59595960     0.40114531     0.40148651     -3.0706732
     0.60606061     0.39130110     0.39163392     -3.0706732
     0.61616162     0.38143309     0.38175752     -3.0706732
     0.62626263     0.37154356     0.37185957     -3.0706732
     0.63636364     0.36163458     0.36194216     -3.0706732
     0.64646465     0.35170802     0.35200716     -3.0706732
     0.65656566     0.34176557     0.34205625     -3.0706732
     0.66666667     0.33180875     0.33209097     -3.0706732
     0.67676768     0.32183895     0.32211268     -3.0706732
     0.68686869     0.31185741     0.31212266     -3.0706732
     0.69696970     0.30186526     0.30212201     -3.0706732
     0.70707071     0.29186352     0.29211176     -3.0706732
     0.71717172     0.28185311     0.28209284     -3.0706732
     0.72727273     0.27183487     0.27206607     -3.0706732
     0.73737374     0.26180954     0.26203222     -3.0706732
     0.74747475     0.25177781     0.25199196     -3.0706732
     0.75757576     0.24174029     0.24194590     -3.0706732
     0.76767677     0.23169755     0.23189461     -3.0706732
     0.77777778     0.22165007     0.22183859     -3.0706732
     0.78787879     0.21159832     0.21177829     -3.0706732
     0.79797980     0.20154270     0.20171412     -3.0706732
     0.80808081     0.19148359     0.19164646     -3.0706732
     0.81818182     0.18142133     0.18157563     -3.0706732
     0.82828283     0.17135621     0.17150195     -3.0706732
     0.83838384     0.16128851     0.16142569     -3.0706732
     0.84848485     0.15121848     0.15134710     -3.0706732
     0.85858586     0.14114634     0.14126639     -3.0706732
     0.86868687     0.13107230     0.13118378     -3.0706732
     0.87878788     0.12099653     0.12109945     -3.0706732
     0.88888889     0.11091921     0.11101355     -3.0706732
     0.89898990     0.10084048     0.10092625     -3.0706732
     0.90909091    0.090760482    0.090837678     -3.0706732
     0.91919192    0.080679332    0.080747953     -3.0706732
     0.92929293    0.070597142    0.070657188     -3.0706732
     0.93939394    0.060514012    0.060565482     -3.0706732
     0.94949495    0.050430034    0.050472927     -3.0706732
     0.95959596    0.040345288    0.040379603     -3.0706732
     0.96969697    0.030259848    0.030285585     -3.0706732
     0.97979798    0.020173781    0.020190939     -3.0706732
     0.98989899    0.010087147    0.010095726     -3.0706732
