              x     u_solution   u_analytical  log10(relErr)
  0.00010001000  0.00089959454  0.00089959462     -7.0790946
  0.00020002000   0.0017981899   0.0017981900     -7.0790943
  0.00030003000   0.0026957870   0.0026957872     -7.0790944
  0.00040004000   0.0035923870   0.0035923873     -7.0790944
  0.00050005001   0.0044879907   0.0044879911     -7.0790945
  0.00060006001   0.0053825992   0.0053825997     -7.0790944
  0.00070007001   0.0062762135   0.0062762140     -7.0790944
  0.00080008001   0.0071688346   0.0071688352     -7.0790944
  0.00090009001   0.0080604634   0.0080604641     -7.0790945
   0.0010001000   0.0089511010   0.0089511018     -7.0790944
   0.0011001100   0.0098407484   0.0098407492     -7.0790944
   0.0012001200    0.010729407    0.010729407     -7.0790944
   0.0013001300    0.011617076    0.011617077     -7.0790944
   0.0014001400    0.012503759    0.012503760     -7.0790944
   0.0015001500    0.013389455    0.013389456     -7.0790944
   0.0016001600    0.014274166    0.014274167     -7.0790944
   0.0017001700    0.015157893    0.015157894     -7.0790944
   0.0018001800    0.016040636    0.016040637     -7.0790944
   0.0019001900    0.016922397    0.016922398     -7.0790944
   0.0020002000    0.017803177    0.017803178     -7.0790944
   0.0021002100    0.018682976    0.018682977     -7.0790944
   0.0022002200    0.019561796    0.019561797     -7.0790944
   0.0023002300    0.020439637    0.020439639     -7.0790944
   0.0024002400    0.021316501    0.021316503     -7.0790944
   0.0025002500    0.022192388    0.022192390     -7.0790944
   0.0026002600    0.023067300    0.023067302     -7.0790944
   0.0027002700    0.023941237    0.023941239     -7.0790944
   0.0028002800    0.024814201    0.024814203     -7.0790944
   0.0029002900    0.025686192    0.025686195     -7.0790944
   0.0030003000    0.026557212    0.026557214     -7.0790944
   0.0031003100    0.027427261    0.027427263     -7.0790944
   0.0032003200    0.028296340    0.028296343     -7.0790944
   0.0033003300    0.029164451    0.029164453     -7.0790944
   0.0034003400    0.030031594    0.030031596     -7.0790944
   0.0035003500    0.030897770    0.030897773     -7.0790944
   0.0036003600    0.031762980    0.031762983     -7.0790944
   0.0037003700    0.032627226    0.032627229     -7.0790944
   0.0038003800    0.033490507    0.033490510     -7.0790944
   0.0039003900    0.034352826    0.034352829     -7.0790944
   0.0040004000    0.035214183    0.035214186     -7.0790944
   0.0041004100    0.036074579    0.036074582     -7.0790944
   0.0042004200    0.036934015    0.036934018     -7.0790944
   0.0043004300    0.037792491    0.037792495     -7.0790944
   0.0044004400    0.038650010    0.038650013     -7.0790944
   0.0045004500    0.039506572    0.039506575     -7.0790944
   0.0046004600    0.040362177    0.040362180     -7.0790944
   0.0047004700    0.041216827    0.041216830     -7.0790944
   0.0048004800    0.042070523    0.042070526     -7.0790944
   0.0049004900    0.042923265    0.042923269     -7.0790944
   0.0050005001    0.043775055    0.043775059     -7.0790944
   0.0051005101    0.044625894    0.044625898     -7.0790944
   0.0052005201    0.045475782    0.045475786     -7.0790944
   0.0053005301    0.046324721    0.046324725     -7.0790944
   0.0054005401    0.047172711    0.047172715     -7.0790944
   0.0055005501    0.048019754    0.048019758     -7.0790944
   0.0056005601    0.048865850    0.048865854     -7.0790944
   0.0057005701    0.049711000    0.049711004     -7.0790944
   0.0058005801    0.050555205    0.050555210     -7.0790944
   0.0059005901    0.051398467    0.051398471     -7.0790944
   0.0060006001    0.052240786    0.052240790     -7.0790944
   0.0061006101    0.053082162    0.053082167     -7.0790944
   0.0062006201    0.053922598    0.053922602     -7.0790944
   0.0063006301    0.054762094    0.054762098     -7.0790944
   0.0064006401    0.055600650    0.055600655     -7.0790944
   0.0065006501    0.056438269    0.056438273     -7.0790944
   0.0066006601    0.057274950    0.057274954     -7.0790944
   0.0067006701    0.058110694    0.058110699     -7.0790944
   0.0068006801    0.058945504    0.058945509     -7.0790944
   0.0069006901    0.059779379    0.059779384     -7.0790944
   0.0070007001    0.060612320    0.060612325     -7.0790944
   0.0071007101    0.061444329    0.061444334     -7.0790944
   0.0072007201    0.062275406    0.062275411     -7.0790944
   0.0073007301    0.063105553    0.063105558     -7.0790944
   0.0074007401    0.063934770    0.063934775     -7.0790944
   0.0075007501    0.064763057    0.064763063     -7.0790944
   0.0076007601    0.065590417    0.065590423     -7.0790944
   0.0077007701    0.066416850    0.066416856     -7.0790944
   0.0078007801    0.067242357    0.067242363     -7.0790944
   0.0079007901    0.068066939    0.068066945     -7.0790944
   0.0080008001    0.068890597    0.068890602     -7.0790944
   0.0081008101    0.069713331    0.069713337     -7.0790944
   0.0082008201    0.070535143    0.070535149     -7.0790944
   0.0083008301    0.071356033    0.071356039     -7.0790944
   0.0084008401    0.072176003    0.072176009     -7.0790944
   0.0085008501    0.072995053    0.072995060     -7.0790944
   0.0086008601    0.073813185    0.073813191     -7.0790944
   0.0087008701    0.074630399    0.074630405     -7.0790944
   0.0088008801    0.075446696    0.075446702     -7.0790944
   0.0089008901    0.076262077    0.076262083     -7.0790944
   0.0090009001    0.077076543    0.077076549     -7.0790944
   0.0091009101    0.077890095    0.077890101     -7.0790944
   0.0092009201    0.078702734    0.078702740     -7.0790944
   0.0093009301    0.079514460    0.079514467     -7.0790944
   0.0094009401    0.080325275    0.080325282     -7.0790944
   0.0095009501    0.081135180    0.081135187     -7.0790944
   0.0096009601    0.081944175    0.081944182     -7.0790944
   0.0097009701    0.082752261    0.082752268     -7.0790944
   0.0098009801    0.083559440    0.083559447     -7.0790944
   0.0099009901    0.084365712    0.084365719     -7.0790944
    0.010001000    0.085171078    0.085171085     -7.0790944
    0.010101010    0.085975539    0.085975546     -7.0790944
    0.010201020    0.086779096    0.086779103     -7.0790944
    0.010301030    0.087581750    0.087581757     -7.0790944
    0.010401040    0.088383501    0.088383508     -7.0790944
    0.010501050    0.089184351    0.089184358     -7.0790944
    0.010601060    0.089984300    0.089984308     -7.0790944
    0.010701070    0.090783350    0.090783358     -7.0790944
    0.010801080    0.091581501    0.091581509     -7.0790944
    0.010901090    0.092378755    0.092378763     -7.0790944
    0.011001100    0.093175111    0.093175119     -7.0790944
    0.011101110    0.093970572    0.093970580     -7.0790944
    0.011201120    0.094765137    0.094765145     -7.0790944
    0.011301130    0.095558808    0.095558816     -7.0790944
    0.011401140    0.096351586    0.096351594     -7.0790944
    0.011501150    0.097143472    0.097143480     -7.0790944
    0.011601160    0.097934466    0.097934474     -7.0790944
    0.011701170    0.098724569    0.098724577     -7.0790944
    0.011801180    0.099513782    0.099513791     -7.0790944
    0.011901190     0.10030211     0.10030212     -7.0790944
    0.012001200     0.10108954     0.10108955     -7.0790944
    0.012101210     0.10187609     0.10187610     -7.0790944
    0.012201220     0.10266176     0.10266177     -7.0790944
    0.012301230     0.10344653     0.10344654     -7.0790944
    0.012401240     0.10423043     0.10423044     -7.0790944
    0.012501250     0.10501344     0.10501345     -7.0790944
    0.012601260     0.10579557     0.10579557     -7.0790944
    0.012701270     0.10657681     0.10657682     -7.0790944
    0.012801280     0.10735718     0.10735719     -7.0790944
    0.012901290     0.10813666     0.10813667     -7.0790944
    0.013001300     0.10891527     0.10891528     -7.0790944
    0.013101310     0.10969299     0.10969300     -7.0790944
    0.013201320     0.11046984     0.11046985     -7.0790944
    0.013301330     0.11124582     0.11124583     -7.0790944
    0.013401340     0.11202091     0.11202092     -7.0790944
    0.013501350     0.11279514     0.11279515     -7.0790944
    0.013601360     0.11356849     0.11356850     -7.0790944
    0.013701370     0.11434096     0.11434097     -7.0790944
    0.013801380     0.11511257     0.11511258     -7.0790944
    0.013901390     0.11588330     0.11588331     -7.0790944
    0.014001400     0.11665316     0.11665317     -7.0790944
    0.014101410     0.11742216     0.11742217     -7.0790944
    0.014201420     0.11819028     0.11819029     -7.0790944
    0.014301430     0.11895754     0.11895755     -7.0790944
    0.014401440     0.11972393     0.11972394     -7.0790944
    0.014501450     0.12048945     0.12048946     -7.0790944
    0.014601460     0.12125411     0.12125412     -7.0790944
    0.014701470     0.12201790     0.12201791     -7.0790944
    0.014801480     0.12278083     0.12278084     -7.0790944
    0.014901490     0.12354290     0.12354291     -7.0790944
    0.015001500     0.12430411     0.12430412     -7.0790944
    0.015101510     0.12506445     0.12506446     -7.0790944
    0.015201520     0.12582394     0.12582395     -7.0790944
    0.015301530     0.12658256     0.12658257     -7.0790944
    0.015401540     0.12734033     0.12734034     -7.0790944
    0.015501550     0.12809724     0.12809725     -7.0790944
    0.015601560     0.12885329     0.12885331     -7.0790944
    0.015701570     0.12960849     0.12960850     -7.0790944
    0.015801580     0.13036284     0.13036285     -7.0790944
    0.015901590     0.13111633     0.13111634     -7.0790944
    0.016001600     0.13186896     0.13186897     -7.0790944
    0.016101610     0.13262075     0.13262076     -7.0790944
    0.016201620     0.13337168     0.13337169     -7.0790944
    0.016301630     0.13412176     0.13412177     -7.0790944
    0.016401640     0.13487099     0.13487100     -7.0790944
    0.016501650     0.13561938     0.13561939     -7.0790944
    0.016601660     0.13636691     0.13636692     -7.0790944
    0.016701670     0.13711360     0.13711361     -7.0790944
    0.016801680     0.13785944     0.13785945     -7.0790944
    0.016901690     0.13860444     0.13860445     -7.0790944
    0.017001700     0.13934859     0.13934860     -7.0790944
    0.017101710     0.14009189     0.14009191     -7.0790944
    0.017201720     0.14083436     0.14083437     -7.0790944
    0.017301730     0.14157598     0.14157599     -7.0790944
