              x              y              z             vx             vy             vz
      1.0000000   0.0062831853      0.0000000   -0.039478418      6.2831853      0.0000000
     0.99996052    0.012566371      0.0000000   -0.078954498      6.2829373      0.0000000
     0.99988157    0.018849308      0.0000000    -0.11842668      6.2824412      0.0000000
     0.99976314    0.025131749      0.0000000    -0.15789341      6.2816972      0.0000000
     0.99960525    0.031413446      0.0000000    -0.19735313      6.2807053      0.0000000
     0.99940789    0.037694152      0.0000000    -0.23680428      6.2794655      0.0000000
     0.99917109    0.043973617      0.0000000    -0.27624530      6.2779779      0.0000000
     0.99889484    0.050251595      0.0000000    -0.31567463      6.2762426      0.0000000
     0.99857917    0.056527838      0.0000000    -0.35509073      6.2742597      0.0000000
     0.99822408    0.062802097      0.0000000    -0.39449203      6.2720293      0.0000000
     0.99782959    0.069074127      0.0000000    -0.43387697      6.2695514      0.0000000
     0.99739571    0.075343678      0.0000000    -0.47324401      6.2668263      0.0000000
     0.99692247    0.081610504      0.0000000    -0.51259158      6.2638539      0.0000000
     0.99640987    0.087874358      0.0000000    -0.55191814      6.2606346      0.0000000
     0.99585796    0.094134993      0.0000000    -0.59122213      6.2571683      0.0000000
     0.99526673     0.10039216      0.0000000    -0.63050199      6.2534553      0.0000000
     0.99463623     0.10664562      0.0000000    -0.66975618      6.2494958      0.0000000
     0.99396648     0.11289511      0.0000000    -0.70898315      6.2452898      0.0000000
     0.99325749     0.11914040      0.0000000    -0.74818135      6.2408377      0.0000000
     0.99250931     0.12538124      0.0000000    -0.78734922      6.2361395      0.0000000
     0.99172196     0.13161738      0.0000000    -0.82648523      6.2311956      0.0000000
     0.99089548     0.13784858      0.0000000    -0.86558782      6.2260060      0.0000000
     0.99002989     0.14407458      0.0000000    -0.90465546      6.2205711      0.0000000
     0.98912523     0.15029515      0.0000000    -0.94368659      6.2148911      0.0000000
     0.98818155     0.15651004      0.0000000    -0.98267968      6.2089662      0.0000000
     0.98719887     0.16271901      0.0000000     -1.0216332      6.2027967      0.0000000
     0.98617723     0.16892181      0.0000000     -1.0605456      6.1963828      0.0000000
     0.98511669     0.17511819      0.0000000     -1.0994153      6.1897248      0.0000000
     0.98401727     0.18130791      0.0000000     -1.1382408      6.1828230      0.0000000
     0.98287903     0.18749074      0.0000000     -1.1770206      6.1756777      0.0000000
     0.98170201     0.19366641      0.0000000     -1.2157532      6.1682893      0.0000000
     0.98048626     0.19983470      0.0000000     -1.2544369      6.1606579      0.0000000
     0.97923182     0.20599536      0.0000000     -1.2930703      6.1527839      0.0000000
     0.97793875     0.21214815      0.0000000     -1.3316519      6.1446677      0.0000000
     0.97660710     0.21829281      0.0000000     -1.3701801      6.1363097      0.0000000
     0.97523692     0.22442912      0.0000000     -1.4086535      6.1277100      0.0000000
     0.97382827     0.23055683      0.0000000     -1.4470704      6.1188692      0.0000000
     0.97238120     0.23667570      0.0000000     -1.4854293      6.1097876      0.0000000
     0.97089577     0.24278549      0.0000000     -1.5237289      6.1004656      0.0000000
     0.96937204     0.24888596      0.0000000     -1.5619674      6.0909035      0.0000000
     0.96781007     0.25497686      0.0000000     -1.6001435      6.0811018      0.0000000
     0.96620993     0.26105796      0.0000000     -1.6382557      6.0710609      0.0000000
     0.96457167     0.26712902      0.0000000     -1.6763023      6.0607812      0.0000000
     0.96289537     0.27318980      0.0000000     -1.7142820      6.0502631      0.0000000
     0.96118109     0.27924007      0.0000000     -1.7521931      6.0395070      0.0000000
     0.95942889     0.28527957      0.0000000     -1.7900343      6.0285135      0.0000000
     0.95763886     0.29130809      0.0000000     -1.8278040      6.0172829      0.0000000
     0.95581105     0.29732537      0.0000000     -1.8655008      6.0058158      0.0000000
     0.95394555     0.30333119      0.0000000     -1.9031230      5.9941126      0.0000000
     0.95204243     0.30932530      0.0000000     -1.9406694      5.9821738      0.0000000
     0.95010176     0.31530747      0.0000000     -1.9781383      5.9699999      0.0000000
     0.94812362     0.32127747      0.0000000     -2.0155283      5.9575914      0.0000000
     0.94610810     0.32723506      0.0000000     -2.0528379      5.9449488      0.0000000
     0.94405526     0.33318001      0.0000000     -2.0900656      5.9320726      0.0000000
     0.94196519     0.33911208      0.0000000     -2.1272100      5.9189635      0.0000000
     0.93983798     0.34503105      0.0000000     -2.1642697      5.9056218      0.0000000
     0.93767371     0.35093667      0.0000000     -2.2012430      5.8920483      0.0000000
     0.93547247     0.35682872      0.0000000     -2.2381287      5.8782433      0.0000000
     0.93323434     0.36270696      0.0000000     -2.2749251      5.8642076      0.0000000
     0.93095942     0.36857117      0.0000000     -2.3116310      5.8499417      0.0000000
     0.92864778     0.37442111      0.0000000     -2.3482447      5.8354461      0.0000000
     0.92629954     0.38025656      0.0000000     -2.3847650      5.8207215      0.0000000
     0.92391477     0.38607728      0.0000000     -2.4211902      5.8057685      0.0000000
     0.92149358     0.39188305      0.0000000     -2.4575191      5.7905878      0.0000000
     0.91903607     0.39767363      0.0000000     -2.4937501      5.7751798      0.0000000
     0.91654232     0.40344881      0.0000000     -2.5298819      5.7595453      0.0000000
     0.91401243     0.40920836      0.0000000     -2.5659130      5.7436850      0.0000000
     0.91144652     0.41495204      0.0000000     -2.6018420      5.7275994      0.0000000
     0.90884468     0.42067964      0.0000000     -2.6376674      5.7112892      0.0000000
     0.90620701     0.42639093      0.0000000     -2.6733879      5.6947551      0.0000000
     0.90353362     0.43208569      0.0000000     -2.7090020      5.6779979      0.0000000
     0.90082462     0.43776369      0.0000000     -2.7445084      5.6610181      0.0000000
     0.89808011     0.44342470      0.0000000     -2.7799057      5.6438165      0.0000000
     0.89530021     0.44906852      0.0000000     -2.8151923      5.6263938      0.0000000
     0.89248501     0.45469491      0.0000000     -2.8503671      5.6087507      0.0000000
     0.88963465     0.46030367      0.0000000     -2.8854285      5.5908879      0.0000000
     0.88674922     0.46589455      0.0000000     -2.9203752      5.5728062      0.0000000
     0.88382884     0.47146736      0.0000000     -2.9552058      5.5545064      0.0000000
     0.88087364     0.47702187      0.0000000     -2.9899190      5.5359891      0.0000000
     0.87788372     0.48255785      0.0000000     -3.0245133      5.5172551      0.0000000
     0.87485921     0.48807511      0.0000000     -3.0589874      5.4983053      0.0000000
     0.87180022     0.49357342      0.0000000     -3.0933400      5.4791403      0.0000000
     0.86870688     0.49905256      0.0000000     -3.1275697      5.4597610      0.0000000
     0.86557931     0.50451232      0.0000000     -3.1616752      5.4401682      0.0000000
     0.86241763     0.50995248      0.0000000     -3.1956550      5.4203627      0.0000000
     0.85922198     0.51537285      0.0000000     -3.2295080      5.4003452      0.0000000
     0.85599247     0.52077319      0.0000000     -3.2632327      5.3801167      0.0000000
     0.85272924     0.52615331      0.0000000     -3.2968278      5.3596780      0.0000000
     0.84943241     0.53151299      0.0000000     -3.3302920      5.3390298      0.0000000
     0.84610212     0.53685202      0.0000000     -3.3636239      5.3181731      0.0000000
     0.84273849     0.54217019      0.0000000     -3.3968224      5.2971086      0.0000000
     0.83934167     0.54746730      0.0000000     -3.4298860      5.2758374      0.0000000
     0.83591179     0.55274314      0.0000000     -3.4628135      5.2543602      0.0000000
     0.83244897     0.55799750      0.0000000     -3.4956036      5.2326779      0.0000000
     0.82895337     0.56323017      0.0000000     -3.5282549      5.2107914      0.0000000
     0.82542511     0.56844097      0.0000000     -3.5607663      5.1887017      0.0000000
     0.82186435     0.57362967      0.0000000     -3.5931363      5.1664095      0.0000000
     0.81827121     0.57879608      0.0000000     -3.6253639      5.1439159      0.0000000
     0.81464585     0.58393999      0.0000000     -3.6574476      5.1212218      0.0000000
     0.81098840     0.58906121      0.0000000     -3.6893863      5.0983281      0.0000000
     0.80729901     0.59415954      0.0000000     -3.7211787      5.0752357      0.0000000
     0.80357783     0.59923478      0.0000000     -3.7528235      5.0519456      0.0000000
     0.79982501     0.60428672      0.0000000     -3.7843195      5.0284588      0.0000000
     0.79604069     0.60931518      0.0000000     -3.8156654      5.0047762      0.0000000
     0.79222503     0.61431996      0.0000000     -3.8468602      4.9808987      0.0000000
     0.78837817     0.61930086      0.0000000     -3.8779024      4.9568275      0.0000000
     0.78450026     0.62425769      0.0000000     -3.9087909      4.9325633      0.0000000
     0.78059147     0.62919025      0.0000000     -3.9395246      4.9081074      0.0000000
     0.77665195     0.63409836      0.0000000     -3.9701021      4.8834606      0.0000000
     0.77268185     0.63898182      0.0000000     -4.0005224      4.8586239      0.0000000
     0.76868132     0.64384044      0.0000000     -4.0307841      4.8335985      0.0000000
     0.76465054     0.64867404      0.0000000     -4.0608862      4.8083852      0.0000000
     0.76058965     0.65348242      0.0000000     -4.0908275      4.7829852      0.0000000
