              x              y              z             vx             vy             vz
      1.0000000    0.062831853      0.0000000    -0.19622892      6.2708559      0.0000000
     0.99607542     0.12541712      0.0000000    -0.58676937      6.2340604      0.0000000
     0.98826461     0.18751306      0.0000000    -0.97274594      6.1732280      0.0000000
     0.97662050     0.24888168      0.0000000     -1.3527275      6.0888710      0.0000000
     0.96121006     0.30929048      0.0000000     -1.7253386      5.9815796      0.0000000
     0.94211373     0.36851327      0.0000000     -2.0892626      5.8520157      0.0000000
     0.91942481     0.42633079      0.0000000     -2.4432440      5.7009068      0.0000000
     0.89324885     0.48253140      0.0000000     -2.7860902      5.5290408      0.0000000
     0.86370301     0.53691161      0.0000000     -3.1166725      5.3372601      0.0000000
     0.83091540     0.58927661      0.0000000     -3.4339278      5.1264569      0.0000000
     0.79502445     0.63944075      0.0000000     -3.7368580      4.8975676      0.0000000
     0.75617824     0.68722796      0.0000000     -4.0245311      4.6515686      0.0000000
     0.71453383     0.73247212      0.0000000     -4.2960806      4.3894717      0.0000000
     0.67025663     0.77501739      0.0000000     -4.5507050      4.1123201      0.0000000
     0.62351973     0.81471852      0.0000000     -4.7876676      3.8211844      0.0000000
     0.57450328     0.85144108      0.0000000     -5.0062955      3.5171595      0.0000000
     0.52339382     0.88506171      0.0000000     -5.2059790      3.2013611      0.0000000
     0.47038370     0.91546830      0.0000000     -5.3861707      2.8749226      0.0000000
     0.41567041     0.94256017      0.0000000     -5.5463844      2.5389930      0.0000000
     0.35945601     0.96624816      0.0000000     -5.6861945      2.1947339      0.0000000
     0.30194652     0.98645484      0.0000000     -5.8052349      1.8433173      0.0000000
     0.24335131      1.0031145      0.0000000     -5.9031981      1.4859242      0.0000000
     0.18388255      1.0161733      0.0000000     -5.9798349      1.1237419      0.0000000
     0.12375461      1.0255893      0.0000000     -6.0349534     0.75796289      0.0000000
    0.063183486      1.0313326      0.0000000     -6.0684182     0.38978296      0.0000000
   0.0023862468      1.0333850      0.0000000     -6.0801507    0.020399867      0.0000000
   -0.058419529      1.0317406      0.0000000     -6.0701282    -0.34898819      0.0000000
    -0.11901632      1.0264052      0.0000000     -6.0383837    -0.71718392      0.0000000
    -0.17918720      1.0173969      0.0000000     -5.9850064     -1.0829923      0.0000000
    -0.23871644      1.0047454      0.0000000     -5.9101411     -1.4452221      0.0000000
    -0.29739002     0.98849246      0.0000000     -5.8139889     -1.8026870      0.0000000
    -0.35499622     0.96869166      0.0000000     -5.6968073     -2.1542076      0.0000000
    -0.41132617     0.94540831      0.0000000     -5.5589109     -2.4986125      0.0000000
    -0.46617444     0.91871941      0.0000000     -5.4006715     -2.8347405      0.0000000
    -0.51933960     0.88871350      0.0000000     -5.2225192     -3.1614420      0.0000000
    -0.57062482     0.85549057      0.0000000     -5.0249425     -3.4775816      0.0000000
    -0.61983845     0.81916187      0.0000000     -4.8084900     -3.7820398      0.0000000
    -0.66679462     0.77984977      0.0000000     -4.5737699     -4.0737159      0.0000000
    -0.71131385     0.73768755      0.0000000     -4.3214519     -4.3515306      0.0000000
    -0.75322366     0.69281916      0.0000000     -4.0522673     -4.6144287      0.0000000
    -0.79235920     0.64539898      0.0000000     -3.7670094     -4.8613827      0.0000000
    -0.82856385     0.59559151      0.0000000     -3.4665347     -5.0913960      0.0000000
    -0.86168989     0.54357106      0.0000000     -3.1517627     -5.3035070      0.0000000
