              T              E              M            |M|             Cv              X              A
            2.2     -1.5475646    0.088828909     0.78815105       1.350515      3.2162327     0.15004179
          2.201     -1.5473463   -0.065566576     0.78968719      1.3270838      2.9510877     0.15010357
          2.202     -1.5449275      0.1648081     0.78696462      1.3511915      3.1256778     0.15094212
          2.203     -1.5443763    -0.10609268     0.78732064      1.3446296      3.0400523     0.15107305
          2.204     -1.5417967    -0.14364968     0.78456401      1.3601548      3.1800758      0.1520757
          2.205      -1.542048     -0.1745426      0.7847919       1.359643      3.1892916     0.15208882
          2.206     -1.5403279    0.088355869     0.78336347      1.3602069      3.1999029     0.15269099
          2.207     -1.5389328    -0.12542609     0.78230776       1.367178      3.2402541     0.15320429
          2.208     -1.5363882     0.18984966     0.77912354       1.385781       3.409008     0.15411903
          2.209     -1.5362758   -0.028751944      0.7796806      1.3735448      3.4014459     0.15425277
           2.21     -1.5343917    -0.19656687     0.77886243      1.3779491      3.2947885     0.15488519
          2.211     -1.5332328   -0.056456379     0.77743438      1.3814254      3.4160836      0.1553409
          2.212     -1.5307549    0.069313247     0.77452628       1.409337      3.6432968     0.15619655
          2.213     -1.5298387    -0.16021627      0.7738217      1.4131478      3.6088928     0.15650859
          2.214     -1.5286552      0.1448541     0.77317758      1.4067042      3.6349612     0.15701144
          2.215     -1.5276624   -0.046200692     0.77282593      1.4058156      3.5699331     0.15732511
          2.216     -1.5268882   -0.070943076      0.7723915      1.4008824      3.5371972     0.15770929
          2.217     -1.5250062    0.034569015     0.77092566      1.4089114      3.5577281     0.15842776
          2.218     -1.5217191   -0.057001808      0.7663067      1.4293857       3.859081      0.1595589
          2.219     -1.5218636   -0.043088515     0.76740473      1.4187338      3.7983716     0.15955249
           2.22     -1.5188955    0.092989646     0.76366816      1.4420274      3.9868406     0.16054243
          2.221     -1.5186075   -0.041704616     0.76424706      1.4313244      3.8382539     0.16071172
          2.222     -1.5169482   -0.046450152     0.76303732      1.4382025      3.8940206     0.16137275
          2.223     -1.5168323     0.10530787      0.7634887      1.4288345      3.8613584     0.16142017
          2.224     -1.5136597   -0.074247268     0.75946488      1.4506949      4.0524304     0.16255425
          2.225     -1.5133206   -0.040560611     0.75939358      1.4503047      4.0526142     0.16273002
          2.226     -1.5112186      0.1225018     0.75667305      1.4630786      4.2184961     0.16351517
          2.227     -1.5087893   -0.091736429     0.75427353      1.4799037      4.3229838     0.16435046
          2.228     -1.5084064    0.019961879     0.75543435      1.4686351      4.1370471     0.16450854
          2.229     -1.5075883    0.023125232     0.75408351      1.4636598      4.2711422     0.16487255
           2.23     -1.5054107      0.0468175     0.75227454       1.488035      4.2865051     0.16560972
          2.231     -1.5068569    -0.05343096     0.75629115      1.4474099      3.9773003      0.1650787
          2.232     -1.5029962  -0.0062075657     0.75031189      1.4787746      4.3312496     0.16655254
          2.233      -1.499793    0.028706061     0.74721817      1.4924144      4.3750764     0.16773117
          2.234     -1.4996513     0.10607846      0.7465833      1.4960374      4.5543471     0.16778108
          2.235     -1.4977121    0.051580439     0.74561685      1.4941176      4.4393929      0.1685284
          2.236     -1.4961133    0.018816015     0.74297706      1.5074062      4.6606735     0.16908095
          2.237     -1.4957399       0.056071     0.74432833       1.496148      4.4601446     0.16934554
          2.238     -1.4922672   -0.034206702      0.7385753      1.5311531      4.8897147     0.17050684
          2.239     -1.4914722   -0.024468773     0.73895876      1.5147485      4.7580037      0.1707734
           2.24     -1.4929768    0.024440848     0.74193205       1.495444       4.561963     0.17037101
          2.241     -1.4891297   -0.013684697     0.73750694      1.5165542      4.7113488     0.17179759
          2.242     -1.4891792     0.03292296     0.73896129      1.5016634      4.5667024     0.17174581
          2.243     -1.4858927     0.01691052     0.73291957      1.5330878      5.0254142     0.17297095
          2.244     -1.4855121   -0.022975808     0.73314479      1.5261624      4.9751066     0.17306287
          2.245     -1.4843428    0.091691253     0.73350424      1.5261186      4.7919274     0.17351146
