              T              E              M            |M|             Cv              X              A
            2.2     -1.5465312     0.78543886     0.78543886      1.4021273      4.3278395     0.15036886
          2.201     -1.5453052    -0.78407127     0.78407127      1.4073701      4.6982053      0.1508421
          2.202     -1.5436962     0.78232638     0.78232638      1.4273886      5.0996371     0.15142989
          2.203     -1.5426351     0.78180422     0.78180422      1.4078345      4.8335464     0.15181294
          2.204     -1.5405833     0.77820604     0.77820604      1.4642698      6.4858523     0.15266417
          2.205     -1.5391165      0.7772513      0.7772513      1.4462722      5.4551616     0.15318405
          2.206     -1.5378105     0.77680291     0.77680291      1.4524769      5.2814767     0.15359745
          2.207     -1.5365277    -0.77535612     0.77535612      1.4684211      5.5879216     0.15408711
          2.208     -1.5348912    -0.77335618     0.77335618      1.4621083      5.9007689     0.15480442
          2.209     -1.5332258    -0.77199017     0.77199017      1.4853273      5.6117671     0.15530708
           2.21     -1.5319501    -0.77013426     0.77013426      1.5003058      7.1538132     0.15587643
          2.211     -1.5303168    -0.76828277     0.76828277      1.5247172      6.7016625     0.15641078
          2.212     -1.5288513     0.76656093     0.76656093       1.523493      7.2335073     0.15697447
          2.213     -1.5272074    -0.76472677     0.76472677       1.525249      7.6773856     0.15749098
          2.214     -1.5246262     0.75985188     0.75985188      1.5601922      9.2867823     0.15848677
          2.215     -1.5240893     0.76167511     0.76167511      1.5336087      7.2657002     0.15867896
          2.216     -1.5227952    -0.76094987     0.76094987      1.5303179      6.9925368     0.15923623
          2.217      -1.520991     0.14933365     0.75754551      1.5920769      9.2739407     0.15988036
          2.218     -1.5198648    -0.75772357     0.75772357      1.5569301       7.440122     0.16024236
          2.219     -1.5181159      0.7545739      0.7545739      1.5924465      9.4519405     0.16101238
           2.22     -1.5164576     0.75147053     0.75147115      1.6351782      11.901294     0.16147656
          2.221      -1.514596     0.74988606     0.74989195      1.6297038       10.81223      0.1622444
          2.222     -1.5134664     0.75019295     0.75019295      1.5981155      9.2193161     0.16266359
          2.223     -1.5115354    -0.74709815     0.74709815      1.6285132      9.4029872     0.16340847
          2.224     -1.5110798     0.74959357     0.74959357      1.5713776      7.6616518     0.16355125
          2.225     -1.5085809     0.74416015     0.74435258       1.624563       10.55946     0.16453074
          2.226     -1.5074603      -0.743074       0.743074      1.6252894      10.552347     0.16489528
          2.227     -1.5054106     0.74119428     0.74119428      1.6372436      9.5865195     0.16558469
          2.228     -1.5036465    -0.73840379     0.73840379      1.6573768       11.46427     0.16621763
          2.229     -1.5020702    -0.60154522       0.735731      1.6626183      13.389795     0.16681038
           2.23     -1.4994381    -0.73056255     0.73056255      1.7029684      12.812068     0.16783941
          2.231     -1.4990073    -0.73254632     0.73254632      1.6897569       11.68576     0.16799035
          2.232     -1.4971966      0.7285178      0.7285178       1.712138      13.619008     0.16868226
          2.233     -1.4944123    -0.33297783      0.7221294      1.7991578       19.46845     0.16968586
          2.234     -1.4933333    -0.72381345     0.72381345      1.7440286      14.308125     0.17007093
          2.235     -1.4920383    -0.72216368      0.7223649      1.7495102      16.081141     0.17059039
          2.236     -1.4901449     0.72012227     0.72012227      1.7688491      16.215898     0.17134974
          2.237     -1.4884188     0.71661956     0.71661956      1.7923167      17.413915     0.17190766
          2.238     -1.4863544     0.71527142     0.71527142        1.76749      15.008523     0.17267155
          2.239     -1.4843945    -0.71163957     0.71163957      1.8174942      17.540312     0.17351072
           2.24     -1.4822272     0.59646239     0.70741811      1.8471742      19.116347     0.17423758
          2.241     -1.4819799    -0.70951195     0.70956726      1.8142388      18.470012     0.17438466
          2.242     -1.4786422     0.70282137     0.70282235      1.8490815      18.950519     0.17552014
          2.243     -1.4773817    -0.69816513     0.69925203      1.8669954      24.307431     0.17597268
          2.244     -1.4754455     0.59043898     0.69612606       1.895772       26.31557     0.17672811
          2.245     -1.4721064     0.53814951     0.68497177      1.9874516      33.655046     0.17798807
          2.246     -1.4698117    -0.44180542     0.68060977      1.9925044      36.212861     0.17879445
          2.247     -1.4700725    0.075863235     0.68822602      1.9114641      25.439395     0.17880543
          2.248      -1.466802    0.011435088     0.67829356      1.9601439      33.537781     0.18007494
          2.249     -1.4669401    -0.61214893     0.68612013      1.9306637       24.30275     0.17992124
           2.25     -1.4636122     0.14826125     0.67836195      1.9708953      27.873883     0.18118463
          2.251     -1.4629075     0.40682156     0.67681761      1.9549405      28.760823     0.18145754
          2.252     -1.4603879    -0.64999659     0.67427646      1.9463074      27.032891     0.18255992
          2.253     -1.4571949     0.35733114     0.65987406      2.1150725      44.728231     0.18361392
          2.254     -1.4555218    -0.15497021     0.65676662      2.1253011      46.989556     0.18431338
          2.255     -1.4527869    -0.11669596     0.65118086      2.1164404      45.743788     0.18522205
          2.256      -1.450669   -0.035297351      0.6491949      2.1111538      42.139009     0.18605561
          2.257     -1.4492618   -0.015822362     0.64993353      2.0541325      38.085983     0.18657133
          2.258     -1.4467748     0.18744841     0.64198246      2.1069928      44.204067     0.18743702
          2.259     -1.4446701     0.33750002     0.63553194      2.1459333      48.757418     0.18820363
           2.26     -1.4398513    -0.28732095     0.61756865      2.2645096      63.072725     0.19006194
          2.261     -1.4403932   -0.069080005     0.62986939      2.1580152      47.373795     0.18983344
          2.262     -1.4386637    -0.38666874     0.62537357      2.2007576      50.459883     0.19050027
          2.263     -1.4350339   -0.080261064     0.61568956      2.2462823      54.693734     0.19180045
          2.264     -1.4347643   -0.097190848     0.62150356      2.1487561      46.158303     0.19195908
          2.265       -1.43122      0.1595886     0.60981248      2.2285778      51.639779     0.19329758
          2.266     -1.4305154     0.20246391     0.61131535      2.1801917      51.383592     0.19359581
          2.267     -1.4266378    0.022140333     0.59031969      2.3378312      73.486385     0.19500917
