              T              E              M            |M|             Cv              X              A
           2.25     -1.4632629     0.67377653     0.67377653      2.0103959        35.8679    0.048835245
          2.255     -1.4524281    -0.64790404     0.64790404      2.2141802      68.988713    0.052869965
           2.26     -1.4389986   -0.044543727     0.59309777      2.5788899      255.07644    0.057857238
          2.265     -1.4272616     0.55009584     0.55721838      2.6645513      259.18788    0.062210725
           2.27     -1.4156663     0.16394388     0.52172431      2.6190058      267.01646   -0.066032263
          2.275     -1.4002475    0.069402466     0.41820496      2.8470116      492.74888    -0.06032076
           2.28     -1.3852034    -0.04007008      0.3429135      2.5627849      423.85473   -0.054739283
          2.285     -1.3753294   -0.020559526     0.31464702      2.5033693      436.55867   -0.050966288
           2.29     -1.3627618   -0.057856268     0.25142187      2.1238245      347.53685   -0.046260828
          2.295     -1.3528859  -0.0068261064     0.21391969       1.935442      262.59656   -0.042443895
            2.3     -1.3432249   -0.011591058     0.19275265      1.8893076      242.80199   -0.038746512
