              T              E              M            |M|             Cv              X              A
            2.2     -1.5469306   0.0087592929     0.78824478      1.3478485      3.1392187     0.15015591
           2.22     -1.5210066     0.10635151     0.76683383      1.4221398      3.7842843      0.1598501
           2.24     -1.4907611   -0.076384404     0.73870284      1.5169264      4.6783297     0.17117048
           2.26     -1.4586307    0.099279611     0.70607276      1.6086231      5.9083233     0.18323766
           2.28     -1.4268011  0.00089965152      0.6737625      1.6313884      6.6712667     0.19524377
            2.3     -1.3947823   -0.017725783     0.63993319      1.6609652      7.4290891     0.20748745
           2.32     -1.3603189     0.01287799     0.60054511      1.6565917      8.1785319     0.22070193
           2.34     -1.3276083   -0.013027707     0.55990667      1.6332328      8.8895428      0.2333776
           2.36     -1.2962783   -0.015677051     0.52507372      1.5598071      8.9030489     0.24569543
           2.38     -1.2648535  -0.0040757121     0.48729986      1.4899276      8.9515965     0.25811925
