              T              E              M            |M|             Cv              X              A
            2.2     -1.5463937    -0.78370604     0.78370604      1.4623337      8.3977363   -0.017187342
           2.22     -1.5160279    -0.74723794     0.74761512      1.7083807      42.835074  -0.0059659307
           2.24     -1.4830347     0.70859882     0.70859882      1.8233947      24.655253   0.0062015775
           2.26     -1.4404561    -0.61193945     0.61193945      2.2854661       102.9005    0.022046183
           2.28      -1.389112   -0.083282622     0.40178847      2.6260199      357.72295    0.041253809
            2.3     -1.3444136    0.040813802     0.22102567      1.9434827      231.14203    0.058183978
           2.32      -1.308987  -0.0077668676     0.13684451      1.5832321      109.79438    0.071846581
           2.34     -1.2788485    0.010562258     0.10061545      1.4084388      60.456585    0.083685637
           2.36     -1.2521753  -0.0049049132    0.083914911       1.303883      43.447053   -0.073420297
           2.38     -1.2270473   0.0021839856     0.07254692      1.1982247      31.441419   -0.063260162
            2.4      -1.203917   0.0032542697    0.061748741       1.124468      22.623374   -0.053788773
